AptID;RwyID;ACCat;AppTyp;RwyDir;DH;RVR;AppClassification;AppGuidance;AppSystemMinima;AppPrecisionTyp
LTAI;36C ;D;NDBY ;0;446;1400;Type A;2D;3;NPA
LTAI;36C ;C;NDBY ;0;446;1400;Type A;2D;3;NPA
LTAI;36C ;C;NDBZ ;0;456;1400;Type A;2D;3;NPA
LTAI;36C ;D;NDBZ ;0;456;1400;Type A;2D;3;NPA
LTAI;36C ;C;VORZ ;0;456;1400;Type A;2D;2;NPA
LTAI;36C ;D;VORZ ;0;456;1400;Type A;2D;2;NPA
LTAI;36C ;C;CIRC ;1;923;2400;Type A;2D;4;NPA
LTAI;36C ;D;CIRC ;1;923;3600;Type A;2D;4;NPA
LTAI;36L ;C;VORY ;0;414;1200;Type A;2D;2;NPA
LTAI;36L ;D;VORY ;0;414;1200;Type A;2D;2;NPA
LTAI;36L ;D;VORZ ;0;454;1400;Type A;2D;2;NPA
LTAI;36L ;C;VORZ ;0;454;1400;Type A;2D;2;NPA
LTAI;36L ;C;ALTN ;1;614;2200;NULL;NULL;NULL;NULL
LTAI;36L ;D;ALTN ;1;614;2200;NULL;NULL;NULL;NULL
LTAI;36L ;C;CIRC ;1;923;2400;Type A;2D;4;NPA
LTAI;36L ;D;CIRC ;1;923;3600;Type A;2D;4;NPA
LTAI;36R ;C;CAT2 ;1;102;300;Type B;3D;0;PA
LTAI;36R ;D;CAT2 ;1;102;300;Type B;3D;0;PA
LTAI;36R ;C;ILSP ;1;200;550;Type B;3D;0;PA
LTAI;36R ;D;ILSP ;1;200;550;Type B;3D;0;PA
LTAI;36R ;C;ILSS ;0;200;550;Type B;3D;0;PA
LTAI;36R ;C;ILSV ;0;200;550;Type B;3D;0;PA
LTAI;36R ;C;ILSX ;0;200;550;Type B;3D;0;PA
LTAI;36R ;C;ILSZ ;0;200;550;Type B;3D;0;PA
LTAI;36R ;D;ILSS ;0;200;550;Type B;3D;0;PA
LTAI;36R ;D;ILSV ;0;200;550;Type B;3D;0;PA
LTAI;36R ;D;ILSX ;0;200;550;Type B;3D;0;PA
LTAI;36R ;D;ILSZ ;0;200;550;Type B;3D;0;PA
LTAI;36R ;D;ALTN ;1;252;750;NULL;NULL;NULL;NULL
LTAI;36R ;C;ALTN ;1;252;750;NULL;NULL;NULL;NULL
LTAI;36R ;C;NDBY ;0;431;1300;Type A;2D;3;NPA
LTAI;36R ;C;VORY ;0;431;1300;Type A;2D;2;NPA
LTAI;36R ;D;NDBY ;0;431;1300;Type A;2D;3;NPA
LTAI;36R ;D;VORY ;0;431;1300;Type A;2D;2;NPA
LTAI;36R ;D;VORZ ;0;461;1500;Type A;2D;2;NPA
LTAI;36R ;D;NDBZ ;0;461;1500;Type A;2D;3;NPA
LTAI;36R ;C;VORZ ;0;461;1500;Type A;2D;2;NPA
LTAI;36R ;C;LOCS ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;LOCV ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;LOCX ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;LOCZ ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;D;LOCS ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;D;LOCV ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;D;LOCX ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;D;LOCZ ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;NDBZ ;0;461;1500;Type A;2D;3;NPA
LTAI;36R ;D;LOCP ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;LOCP ;1;461;1500;Type A;2D;1;NPA
LTAI;36R ;C;CIRC ;1;923;2400;Type A;2D;4;NPA
LTAI;36R ;D;CIRC ;1;923;3600;Type A;2D;4;NPA
LTAI;ALL ;C;ETOPS;0;400;1350;NULL;NULL;NULL;NULL
LTAI;ALL ;D;ETOPS;0;400;1350;NULL;NULL;NULL;NULL
LTAJ;10;C;RNAV ;0;839;2400;Type A;2D;1;NPA
LTAJ;10;D;RNAV ;0;839;2400;Type A;2D;1;NPA
LTAJ;10;C;CIRC ;0;1195;2400;Type A;2D;4;NPA
LTAJ;10;C;ALTN ;99;1039;3400;NULL;NULL;NULL;NULL
LTAJ;10;D;ALTN ;99;1039;3400;NULL;NULL;NULL;NULL
LTAJ;10;D;CIRC ;100;1195;3600;Type A;2D;4;NPA
LTAJ;28;D;CAT2 ;279;130;400;Type B;3D;0;PA
LTAJ;28;C;CAT2 ;279;130;400;Type B;3D;0;PA
LTAJ;28;C;ILSZ ;279;250;550;Type A;3D;0;PA
LTAJ;28;D;ILSZ ;279;250;550;Type A;3D;0;PA
LTAJ;28;D;ALTN ;279;280;850;NULL;NULL;NULL;NULL
LTAJ;28;C;ALTN ;279;280;850;NULL;NULL;NULL;NULL
LTAJ;28;C;RNAV ;0;600;2000;Type A;2D;1;NPA
LTAJ;28;D;RNAV ;0;600;2000;Type A;2D;1;NPA
LTAJ;28;C;LOCZ ;279;734;2400;Type A;2D;1;NPA
LTAJ;28;D;LOCZ ;279;734;2400;Type A;2D;1;NPA
LTAJ;28;C;VORY ;279;734;2400;Type A;2D;2;NPA
LTAJ;28;D;VORY ;279;734;2400;Type A;2D;2;NPA
LTAJ;28;C;NDBY ;279;884;2400;Type A;2D;3;NPA
LTAJ;28;D;NDBY ;279;884;2400;Type A;2D;3;NPA
LTAJ;28;D;NDBZ ;279;1084;2400;Type A;2D;3;NPA
LTAJ;28;C;NDBZ ;279;1084;2400;Type A;2D;3;NPA
LTAJ;28;D;VORZ ;279;1084;2400;Type A;2D;2;NPA
LTAJ;28;C;VORZ ;279;1084;2400;Type A;2D;2;NPA
LTAJ;28;C;CIRC ;0;1195;2400;Type A;2D;4;NPA
LTAJ;28;D;CIRC ;280;1195;3600;Type A;2D;4;NPA
LTAJ;ALL ;C;ETOPS;0;450;1350;NULL;NULL;NULL;NULL
LTAJ;ALL ;D;ETOPS;0;450;1350;NULL;NULL;NULL;NULL
LTAL;18;C;ILSZ ;180;225;800;Type B;3D;0;PA
LTAL;18;D;ILSZ ;180;225;800;Type B;3D;0;PA
LTAL;18;D;ALTN ;180;375;1250;NULL;NULL;NULL;NULL
LTAL;18;C;ALTN ;180;375;1250;NULL;NULL;NULL;NULL
LTAL;18;C;LOCZ ;180;385;1400;Type A;2D;1;NPA
LTAL;18;D;LOCZ ;180;385;1400;Type A;2D;1;NPA
LTAL;18;C;RNAV ;180;435;1600;Type A;2D;1;NPA
LTAL;18;D;RNAV ;180;435;1600;Type A;2D;1;NPA
LTAL;18;C;NDB  ;180;535;2000;Type A;2D;3;NPA
LTAL;18;C;DME  ;180;535;2000;Type A;2D;1;NPA
LTAL;18;D;NDB  ;180;535;2000;Type A;2D;3;NPA
LTAL;18;D;DME  ;180;535;2000;Type A;2D;1;NPA
LTAL;18;C;CIRC ;0;976;2400;Type A;2D;4;NPA
LTAL;18;D;CIRC ;180;1876;3600;Type A;2D;4;NPA
LTAL;36;C;CIRC ;0;1276;2400;Type A;2D;4;NPA
LTAL;36;D;CIRC ;0;1876;3600;Type A;2D;4;NPA
LTAL;ALL ;C;ETOPS;0;425;1600;NULL;NULL;NULL;NULL
LTAL;ALL ;D;ETOPS;0;425;1600;NULL;NULL;NULL;NULL
LTAN;01L ;D;ILSW ;11;233;550;Type B;3D;0;PA
LTAN;01L ;D;ILSZ ;11;233;550;Type B;3D;0;PA
LTAN;01L ;C;ILSW ;11;233;550;Type B;3D;0;PA
LTAN;01L ;C;ILSZ ;11;233;550;Type B;3D;0;PA
LTAN;01L ;D;ALTN ;11;383;1000;NULL;NULL;NULL;NULL
LTAN;01L ;C;ALTN ;11;383;1000;NULL;NULL;NULL;NULL
LTAN;01L ;C;LOCT ;11;463;1500;Type A;2D;1;NPA
LTAN;01L ;C;LOCU ;11;463;1500;Type A;2D;1;NPA
LTAN;01L ;C;NDBT ;11;463;1500;Type A;2D;3;NPA
LTAN;01L ;C;NDBU ;11;463;1500;Type A;2D;3;NPA
LTAN;01L ;C;VORT ;11;463;1500;Type A;2D;2;NPA
LTAN;01L ;C;VORU ;11;463;1500;Type A;2D;2;NPA
LTAN;01L ;D;LOCT ;11;463;1500;Type A;2D;1;NPA
LTAN;01L ;D;LOCU ;11;463;1500;Type A;2D;1;NPA
